Id,Course Topic,Course Language,Course Data,Course Card Color,Hint,Answer,Category Id
1,6.2 Function parameters,Python,"<p>An <strong>argument </strong><i>may </i>be an expression, like 12.0, x, or x * 1.5</p><p>&nbsp;</p><p>hi!</p>",#3f37c9,,"<p>An <strong>argument </strong>may be an <i>expression</i>, like 12.0, x, or x * 1.5</p><p>&nbsp;</p><p>hi!</p>",2
2,6.3 Function parameters,Python,"<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",#f48c06,,"<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",2
3,6.4 Function parameters,Python,"<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",green,"An argument may be an expression, like 12.0, x, or x * 1.5","<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",0
4,6.3 Function parameters,Python,"<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",#f48c06,"An argument may be an expression, like 12.0, x, or x * 1.5","<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",0
5,6.2 Function parameters,Python,"<p>An <strong>argument </strong><i>may </i>be an expression, like 12.0, x, or x * 1.5</p><p>&nbsp;</p><p>hi!</p>",#3f37c9,,"<p>An <strong>argument </strong>may be an <i>expression</i>, like 12.0, x, or x * 1.5</p><p>&nbsp;</p><p>hi!</p>",1
6,6.3 Function parameters,Python,"<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",#f48c06,,"<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",1
7,6.4 Function parameters,Python,"<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",green,"An argument may be an expression, like 12.0, x, or x * 1.5","<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",1
8,6.3 Function parameters,Python,"<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",#f48c06,"An argument may be an expression, like 12.0, x, or x * 1.5","<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",0
9,6.2 Function parameters,Python,"<p>An <strong>argument </strong><i>may </i>be an expression, like 12.0, x, or x * 1.5</p><p>&nbsp;</p><p>hi!</p>",#3f37c9,,"<p>An <strong>argument </strong>may be an <i>expression</i>, like 12.0, x, or x * 1.5</p><p>&nbsp;</p><p>hi!</p>",1
10,6.3 Function parameters,Python,"<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",#f48c06,,"<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",0
11,6.4 Function parameters,Python,"<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",green,"An argument may be an expression, like 12.0, x, or x * 1.5","<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",0
12,6.3 Function parameters,Python,"<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",#f48c06,"An argument may be an expression, like 12.0, x, or x * 1.5","<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",0
13,6.3 Function parameters,Python,"<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",#f48c07,"An argument may be an expression, like 12.0, x, or x * 1.6","<p>An argument may be an expression, like 12.0, x, or x * 1.5</p>",0
